YearWeek,WeekStartDate,WeekEndDate,Cases,temp_mean_C,temp_max_C,temp_min_C,precipitation_sum (mm),rain_sum (mm),sunshine_duration (s),daylight_duration (s),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm),District_ampara,District_anuradhapura,District_badulla,District_batticaloa,District_colombo,District_galle,District_gampaha,District_hambantota,District_jaffna,District_kalmunai,District_kalutara,District_kandy,District_kegalle,District_kilinochchi,District_kurunegala,District_mannar,District_matale,District_matara,District_monaragala,District_mullaitivu,District_nuwara eliya,District_polonnaruwa,District_puttalam,District_ratnapura,District_trincomalee,District_vavuniya
2022-W04,2022-01-24,2022-01-30,1,25.443,28.5,22.4,23.5,23.5,258609.34,294935.37,21.4,27.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,2,14.243,21.1,7.7,2.6,2.6,270674.79,297493.35,11.3,27.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-W04,2022-01-24,2022-01-30,5,25.143,31.3,20.1,9.8,9.8,259690.91,296457.16,14.7,28.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-W04,2022-01-24,2022-01-30,84,25.929,31.7,21.0,7.2,7.2,266707.63,296297.43,19.5,30.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-W04,2022-01-24,2022-01-30,27,25.557,29.8,21.9,14.1,14.1,265474.12,295737.5,19.6,28.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022-W04,2022-01-24,2022-01-30,8,24.886,31.6,20.3,6.6,6.6,265497.81,295497.16,18.1,27.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022-W05,2022-01-31,2022-02-06,3,25.057,30.9,20.3,1.5,1.5,268762.68,298063.93,15.1,32.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,2022-01-31,2022-02-06,15,25.386,32.4,19.2,0.6,0.6,277232.39,297001.92,15.6,35.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,2022-01-31,2022-02-06,12,21.243,27.5,14.4,8.9,8.9,260024.04,298346.4,12.3,30.49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,2022-01-31,2022-02-06,18,25.757,29.4,20.9,7.7,7.7,272296.08,297639.67,16.8,33.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,2022-01-31,2022-02-06,220,25.671,30.9,20.9,10.0,10.0,274545.83,298416.98,18.4,31.68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,2022-01-31,2022-02-06,62,25.929,30.2,22.2,8.6,8.6,270378.79,299262.6,14.1,31.51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,2022-01-31,2022-02-06,96,26.271,34.7,20.5,7.1,7.1,274265.59,298275.82,17.7,34.07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,2022-01-31,2022-02-06,18,27.114,33.6,23.2,4.6,4.6,276325.49,299192.21,27.7,39.14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-W05,2022-01-31,2022-02-06,61,25.686,30.2,20.2,1.5,1.5,275867.23,295649.59,17.4,33.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
